URL,Product Name,Product shorthand,SKU Code
https://drive.google.com/uc?id=1wwuz8_MJfczPEpsknTldjCpYCOMhPORN&.pdf,Space Themed Child-safe Kids Toy Storage Organizer,Space Organizer,YK-KW-007-2
https://drive.google.com/uc?id=171Wk_frVUl3HL8nWkHfdmqZCmZgDBX_Q&.pdf,6-in-1 Super Desk for Kids - Children Multifunctional Desk (No Storage),6-in-1 Super Desk,YK-KW-006
,Toodles Height Adjustable Study Desk And Chair with storage,Hippo study desk,YK-PZ-015-2
https://drive.google.com/uc?id=1PUiiKkRPZf-nU8vsEmZAhwoQiRVuttnU&.pdf,Dog Face Shaped Storage Organizer With Whiteboard for Kids,Dog Organizer,YK-YH-001-3
https://drive.google.com/uc?id=10vYEkDjeTaZ095dD05h3t3ARktxKaJBF&.pdf,6-in-1 Super Desk With Storage for Kids - Children Multifunctional Storage Desk,6-in-1 Super Desk with Storage,YK-KW-012
https://drive.google.com/uc?id=1_ECIAn9-La6Vv5ZFwdm-qO6UCmNJAbVD&.pdf,Toodles Carrot Shaped Bookshelf,Carrot Bookshelf,10-YK-KW-080
,Kid's Chair - Perfect For Toddlers,Kid's Chair,YK-KW-006-1
https://drive.google.com/uc?id=1Ma1xt1iBQ53n0f8nJmnxax-UBUQLUJwm&.pdf,Car Shaped Toy Organizer- White,Car Organizer - White,YK-SQ-022-3 - WHITE
https://drive.google.com/uc?id=1Ma1xt1iBQ53n0f8nJmnxax-UBUQLUJwm&.pdf,Car Shaped Toy Organizer-Pink,Car Organizer - Pink,YK-SQ-022-3 - PINK
,Car Shaped Toy Organizer (Small),Car Organizer - Small,YK-SQ-022-1
https://drive.google.com/uc?id=1SFHOHfhLfm3h0oTDb43G6CtDV2AcnDrl&.pdf,Magnetic Easel with Art Roll Rod- Snail chair - Pink,Art Easel - Pink,YK-NH-006 - PINK
https://drive.google.com/uc?id=1SFHOHfhLfm3h0oTDb43G6CtDV2AcnDrl&.pdf,Magnetic Easel with Art Roll Rod- Snail chair - Blue & Yellow,Art Easel - Blue & Yellow,YK-NH-006 - BLU & YEL
https://drive.google.com/uc?id=1SFHOHfhLfm3h0oTDb43G6CtDV2AcnDrl&.pdf,Magnetic Easel with Art Roll Rod- Snail chair- Green,Art Easel - Green,YK-NH-006 - GREEN
https://drive.google.com/uc?id=1LOZ17PvyfFs8lq0v_QGN5MCqNnBYi6r2&.pdf,Foldable Height Adjustable Step- Stool for kids- Stepping stool- Powder Blue,Step Stool (Blue),YK-PZ-007 - BLUE
https://drive.google.com/uc?id=1LOZ17PvyfFs8lq0v_QGN5MCqNnBYi6r2&.pdf,Foldable Height Adjustable Step- Stool for kids- Stepping stool- Pink,Step Stool (Pink),YK-PZ-007 - PINK
https://drive.google.com/uc?id=1LOZ17PvyfFs8lq0v_QGN5MCqNnBYi6r2&.pdf,Foldable Height Adjustable Step- Stool for kids- Stepping stool- White,Step Stool (White),YK-PZ-007 - WHITE
https://drive.google.com/uc?id=1O-js-cVmUvPexEpg7lwRaTRkuoWOPef2&.pdf,3-in-1 Functionality Desk with Drawing Easel and Bookshelf with Chair- Pink,3-in-1 Multifunctional Desk - Pink,YK-PZ-002-2 - PINK
https://drive.google.com/uc?id=1O-js-cVmUvPexEpg7lwRaTRkuoWOPef2&.pdf,3-in-1 Functionality Desk with Drawing Easel and Bookshelf with Chair- Grey,3-in-1 Multifunctional Desk - Grey,YK-PZ-002-2 - GREY
https://drive.google.com/uc?id=1O-js-cVmUvPexEpg7lwRaTRkuoWOPef2&.pdf,3-in-1 Functionality Desk with Drawing Easel and Bookshelf with Chair- Blue,3-in-1 Multifunctional Desk - Blue,YK-PZ-002-2 - BLUE
https://drive.google.com/uc?id=1efyJoQXdBMiaBzztr5QUUA1CXvqLHFoh&.pdf,Bus Shaped Kids Cartoon Storage Organizer/Shelf/Rack,Bus Organizer,YK-SQ-022-4
,Bus Shaped Kids Cartoon Storage Organizer/Shelf/Rack (Small),Bus Organizer (small),YK-SQ-022-2
https://drive.google.com/uc?id=1tPihkSiuxeK-K6d42ooV_hay0xVWeHb-&.pdf,7-in-1 Multifunctional Table,7-in-1 Super Desk,YK-KW-027